52441 function calls (51748 primitive calls) in 51.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.127    0.127 MyBloxorSloverAI-BFS.py:429(init_window)
        1    0.000    0.000    0.024    0.024 MyBloxorSloverAI-BFS.py:470(GetGameBoard)
        1    0.000    0.000    0.038    0.038 MyBloxorSloverAI-BFS.py:475(GetNote)
        1    0.000    0.000    0.001    0.001 MyBloxorSloverAI-BFS.py:496(GetControl)
        1    0.001    0.001    0.063    0.063 MyBloxorSloverAI-BFS.py:523(GetMenu)
       89    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:61(EqualP)
      221    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:67(MakeKey)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:681(Exit)
        1    0.000    0.000    0.008    0.008 MyBloxorSloverAI-BFS.py:696(GetLevel)
       82    0.000    0.000    0.001    0.000 MyBloxorSloverAI-BFS.py:70(NextPositions)
        1    0.000    0.000    1.194    1.194 MyBloxorSloverAI-BFS.py:722(Solve)
        1    0.000    0.000    0.001    0.001 MyBloxorSloverAI-BFS.py:752(StartAnimation)
        3    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:772(StopAnimation)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:805(RenderBoard)
        2    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:823(RenderControls)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:826(setInterval)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:827(__init__)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:835(cancel)
        1    0.000    0.000    0.000    0.000 MyBloxorSloverAI-BFS.py:838(start)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:22(PaletteFile)
       17    0.000    0.000    0.000    0.000 PngImagePlugin.py:102(read)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:127(close)
       17    0.000    0.000    0.000    0.000 PngImagePlugin.py:134(call)
       10    0.000    0.000    0.000    0.000 PngImagePlugin.py:140(crc)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:185(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:191(__new__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:206(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:283(PngStream)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:285(__init__)
        2    0.000    0.000    0.000    0.000 PngImagePlugin.py:299(check_text_memory)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:333(chunk_IHDR)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:348(chunk_IDAT)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:448(chunk_zTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:484(chunk_iTXt)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:530(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:537(PngImageFile)
        7    0.000    0.000    0.001    0.000 PngImagePlugin.py:542(_open)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:602(load_prepare)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:610(load_read)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:636(load_end)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:675(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:81(_safe_zlib_decompress)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:92(ChunkStream)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:94(__init__)
